-0.0197,0.423,21.7,-0.604,0.632,9.14
0.906,0.13,26.9,-0.388,0.132,13.5
2.01,-0.18,32,-0.2,-0.47,18.3
3.3,-0.51,37.1,-0.041,-1.18,23.5
4.77,-0.861,42,0.0917,-1.98,29
6.4,-1.22,46.7,0.198,-2.89,34.9
8.18,-1.58,51.2,0.282,-3.89,41
10.1,-1.95,55.4,0.344,-4.98,47.4
12.2,-2.27,57.1,0.284,-6.23,53.3
14.2,-2.55,58,0.182,-7.5,59
16.2,-2.79,58.2,0.0503,-8.77,64.5
18.2,-2.99,57.9,-0.0999,-10,69.9
20,-3.17,57.2,-0.249,-11.2,75
21.6,-3.34,56.2,-0.375,-12.4,79.8
23,-3.5,55,-0.46,-13.5,84.3
24.2,-3.65,53.6,-0.489,-14.4,88.5
25.1,-3.79,52.4,-0.418,-15.3,92.4
25.7,-3.91,51.4,-0.227,-16,96
26,-4,50.7,0.0952,-16.6,99.2
25.9,-4.06,50.4,0.554,-17,102
25.6,-4.11,50.6,1.15,-17.3,105
24.9,-4.17,51.4,1.9,-17.4,107
24,-4.24,52.6,2.8,-17.2,108
22.9,-4.33,54.4,3.83,-17,109
21.7,-4.45,56.6,5.02,-16.5,109
20.3,-4.62,59.3,6.35,-15.9,109
18.8,-4.84,62.4,7.82,-15.2,109
17.3,-5.08,65.6,9.4,-14.3,108
15.7,-5.35,69,11.1,-13.4,106
14.2,-5.63,72.4,12.8,-12.4,104
12.8,-5.94,75.9,14.5,-11.4,101
11.4,-6.27,79.3,16.1,-10.3,98
10.2,-6.64,82.6,17.7,-9.26,94.5
9.07,-7.06,85.8,19.1,-8.19,90.6
8.08,-7.52,88.8,20.5,-7.14,86.5
7.23,-8,91.6,21.6,-6.16,82.6
6.51,-8.48,94.2,22.6,-5.27,78.7
5.91,-8.94,96.4,23.3,-4.5,75
5.44,-9.36,98.4,23.8,-3.86,71.6
5.08,-9.71,100,24,-3.37,68.5
4.82,-9.97,101,23.9,-3.01,65.7
4.64,-10.1,102,23.6,-2.79,63.3
4.55,-10.2,103,22.9,-2.72,61.2
4.55,-10.1,103,22.1,-2.82,59.5
4.64,-10,103,20.9,-3.09,58.3
4.84,-9.83,102,19.6,-3.53,57.5
5.15,-9.54,101,18.2,-4.14,57.3
5.6,-9.18,99.2,16.7,-4.93,57.4
6.18,-8.74,97.1,15,-5.9,57.9
6.91,-8.23,94.6,13.4,-7.05,58.6
7.77,-7.66,91.7,11.8,-8.33,59.4
8.76,-7.03,88.4,10.2,-9.74,60.3
9.87,-6.38,84.9,8.68,-11.3,61.3
11.1,-5.71,81.1,7.25,-12.8,62.3
12.3,-5.06,77.2,5.94,-14.5,63.5
13.6,-4.43,73.2,4.78,-16.2,64.7
14.9,-3.85,69.3,3.77,-17.9,66.1
16.2,-3.33,65.6,2.93,-19.5,67.5
17.4,-2.85,62,2.25,-21.1,69
18.5,-2.44,58.8,1.74,-22.6,70.6
19.5,-2.11,56,1.39,-23.9,72.2
20.2,-1.85,53.7,1.19,-25,73.8
20.8,-1.67,52,1.14,-25.9,75.5
21.1,-1.58,50.7,1.22,-26.5,77.3
21,-1.58,50.1,1.44,-26.8,79.3
20.8,-1.7,49.9,1.8,-26.9,81.3
20.2,-1.96,50.2,2.29,-26.7,83.3
19.4,-2.36,51,2.92,-26.2,85.3
18.4,-2.93,52.1,3.66,-25.4,87.1
17.2,-3.68,53.5,4.53,-24.4,88.7
15.8,-4.62,55.1,5.52,-23.2,90
14.4,-5.74,56.8,6.62,-21.8,91.1
12.8,-7.05,58.6,7.85,-20.2,91.8
11.3,-8.56,60.3,9.17,-18.5,92.2
9.82,-10.3,61.9,10.6,-16.8,92.2
8.39,-12.1,63.3,12,-15,91.7
7.06,-14.1,64.5,13.5,-13.2,91
5.86,-16.1,65.5,15,-11.5,89.8
4.83,-18.2,66.3,16.5,-9.92,88.1
3.99,-20.4,66.9,17.9,-8.46,86.1
3.35,-22.5,67.3,19.2,-7.12,83.7
2.92,-24.6,67.6,20.4,-5.95,81.2
2.69,-26.6,67.7,21.4,-4.94,78.6
2.65,-28.4,67.7,22.1,-4.12,75.9
2.8,-29.9,67.7,22.7,-3.5,73.3
3.11,-31.2,67.5,23,-3.06,70.8
3.57,-32.2,67.4,23.1,-2.81,68.4
4.16,-32.9,67.1,22.8,-2.74,66.2
4.86,-33.2,66.9,22.4,-2.85,64.3
5.66,-33.1,66.7,21.6,-3.11,62.7
6.56,-32.6,66.6,20.6,-3.51,61.5
7.57,-31.8,66.3,19.4,-4.05,60.6
8.69,-30.7,65.9,18,-4.7,60.1
9.91,-29.3,65.4,16.5,-5.44,60
11.2,-27.7,64.6,14.9,-6.23,60.3
12.6,-26,63.7,13.3,-7.05,61.1
14.1,-24,62.6,11.6,-7.89,62.2
15.6,-22,61.3,9.97,-8.72,63.7
17.1,-19.9,59.8,8.39,-9.53,65.4
18.6,-17.9,58.3,6.9,-10.3,67.5
20.1,-15.9,56.7,5.51,-11.1,69.9
21.6,-14,55,4.25,-11.8,72.6
23.1,-12.3,53.4,3.14,-12.4,75.6
24.4,-10.8,51.7,2.19,-13,78.8
25.6,-9.45,50.2,1.4,-13.4,82.2
26.7,-8.35,48.8,0.76,-13.8,85.8
27.5,-7.45,47.6,0.275,-14.1,89.4
28.1,-6.74,46.8,-0.0674,-14.3,93
28.5,-6.21,46.3,-0.279,-14.4,96.6
28.6,-5.86,46.2,-0.369,-14.4,100
28.3,-5.68,46.4,-0.346,-14.4,103
27.8,-5.64,47,-0.219,-14.3,106
27,-5.7,47.9,0.0138,-14.3,109
25.9,-5.86,49.2,0.351,-14.2,111
24.7,-6.09,50.7,0.789,-14,113
23.2,-6.39,52.5,1.32,-13.8,114
21.5,-6.74,54.5,1.95,-13.5,115
19.7,-7.14,56.7,2.68,-13.1,115
17.9,-7.58,59,3.51,-12.7,114
16,-8.07,61.3,4.46,-12.2,112
14.1,-8.61,63.7,5.53,-11.7,110
12.3,-9.19,66.1,6.72,-11.1,107
10.6,-9.83,68.4,8.01,-10.5,103
9.06,-10.5,70.6,9.42,-9.83,99
7.64,-11.3,72.6,10.9,-9.13,94.2
6.4,-12.1,74.6,12.5,-8.37,89.1
5.36,-13,76.4,14.1,-7.56,83.6
4.51,-13.9,78.1,15.7,-6.69,77.9
3.84,-15,79.7,17.4,-5.81,72.1
3.35,-16.1,81.1,19,-4.95,66.3
3.01,-17.3,82.3,20.6,-4.15,60.6
2.79,-18.6,83.5,22.1,-3.43,55.1
2.69,-19.8,84.6,23.5,-2.78,50.1
2.66,-21.1,85.6,24.8,-2.22,45.7
2.7,-22.4,86.7,25.9,-1.74,41.9
2.78,-23.7,87.9,26.9,-1.38,38.8
2.89,-24.9,89,27.7,-1.14,36.3
3.01,-26.1,90.1,28.2,-1.03,34.3
3.12,-27.2,91.4,28.5,-1.05,32.9
3.21,-28.2,92.7,28.6,-1.22,32
3.28,-29,94.1,28.5,-1.54,31.6
3.32,-29.7,95.6,28.1,-2.04,31.6
3.32,-30.1,97.3,27.5,-2.7,31.9
3.31,-30.3,99,26.8,-3.52,32.6
3.29,-30.2,101,25.8,-4.5,33.6
3.3,-29.9,103,24.7,-5.63,34.7
3.34,-29.4,104,23.4,-6.91,35.8
3.45,-28.7,106,21.9,-8.34,36.9
3.62,-27.7,107,20.4,-9.93,37.7
3.88,-26.6,108,18.7,-11.7,38.3
4.24,-25.2,109,16.9,-13.5,38.6
4.69,-23.6,109,15.1,-15.5,38.8
5.27,-21.9,109,13.3,-17.5,38.8
5.98,-20,108,11.5,-19.5,38.7
6.85,-18.1,108,9.72,-21.5,38.4
7.89,-16.2,106,7.98,-23.5,38.1
9.08,-14.2,104,6.31,-25.5,37.8
10.5,-12.4,102,4.72,-27.5,37.4
12,-10.6,98.8,3.24,-29.3,37.1
13.6,-8.99,95.6,1.88,-31.1,36.8
15.4,-7.49,92,0.643,-32.8,36.7
17.3,-6.11,88.3,-0.443,-34.4,36.8
19.2,-4.87,84.4,-1.37,-35.8,37.2
21.1,-3.79,80.5,-2.14,-37,38
23.1,-2.89,76.7,-2.77,-38,39.2
25,-2.21,73,-3.26,-38.8,40.8
26.8,-1.74,69.4,-3.6,-39.5,42.7
28.5,-1.47,66,-3.81,-40.1,44.9
30.1,-1.41,62.7,-3.88,-40.6,47.4
31.4,-1.55,59.8,-3.82,-40.9,50.1
32.6,-1.89,57.1,-3.65,-41.1,53
33.4,-2.42,54.7,-3.38,-41.1,56.1
34,-3.11,52.6,-3.02,-41.1,59.2
34.3,-3.96,50.8,-2.58,-40.9,62.4
34.2,-4.96,49.3,-2.07,-40.5,65.6
33.9,-6.12,48.1,-1.5,-39.9,68.6
33.2,-7.44,47.1,-0.874,-39.2,71.5
32.2,-8.91,46.4,-0.202,-38.4,74.2
30.9,-10.5,45.8,0.518,-37.4,76.5
29.4,-12.3,45.4,1.29,-36.3,78.4
27.7,-14.1,45.2,2.12,-35.2,79.9
25.7,-16,45.2,2.99,-34,81
23.7,-17.9,45.5,3.85,-32.7,81.5
21.5,-19.7,46,4.71,-31.3,81.5
19.3,-21.5,46.8,5.56,-29.9,81.1
17.2,-23.2,47.8,6.38,-28.5,80.3
15.1,-24.7,49.1,7.17,-27.2,79.1
13.1,-26.1,50.6,7.92,-25.9,77.6
11.3,-27.4,52.2,8.62,-24.7,75.7
9.7,-28.4,53.9,9.23,-23.7,73.7
8.32,-29.1,55.7,9.77,-23,71.4
7.19,-29.6,57.6,10.2,-22.5,69
6.32,-29.7,59.5,10.6,-22.2,66.5
5.74,-29.6,61.3,10.8,-22.3,64.1
5.43,-29.1,63,10.9,-22.5,61.7
5.38,-28.4,64.6,10.9,-22.9,59.6
5.59,-27.3,65.9,10.8,-23.6,57.7
6.02,-26.1,67,10.6,-24.4,56.3
6.66,-24.6,67.8,10.3,-25.3,55.2
7.46,-23.1,68.3,9.94,-26.4,54.4
8.36,-21.3,68.5,9.53,-27.4,54
9.29,-19.5,68.3,9.1,-28.5,53.9
10.2,-17.6,67.9,8.64,-29.5,54.1
11.1,-15.7,67.3,8.2,-30.5,54.6
11.9,-13.7,66.6,7.79,-31.2,55.4
12.5,-11.9,65.9,7.44,-31.8,56.5
